INT_EPS,LEAF_EPS,LEAF_BUFSIZE,LEAF_FILL_DEC,LEAF_SPLIT_DEC,initial_size,build_time,upsert_time,read_time,final_size
8,64,128,5,8,54362190,300877,300877,300877,87390016
8,64,128,9,10,30363366,352526,352526,352526,51525680
8,64,0,5,8,54056014,298700,298700,298700,54056014
8,64,0,9,10,30057190,349730,349730,349730,30057190
8,64,128,5,8,54362190,310050,310050,310050,87390016
8,64,128,9,10,30363366,356270,356270,356270,51525680
8,64,0,5,8,54056014,297843,297843,297843,54056014
8,64,0,9,10,30057190,358209,358209,358209,30057190
8,64,128,5,8,54362190,311314,311314,311314,87390016
8,64,128,9,10,30363366,361874,361874,361874,51525680
8,64,0,5,8,54056014,304180,304180,304180,54056014
8,64,0,9,10,30057190,355729,355729,355729,30057190
8,64,128,5,8,54362190,309093,309093,309093,87390016
8,64,128,9,10,30363366,361414,361414,361414,51525680
8,64,0,5,8,54056014,303142,303142,303142,54056014
8,64,0,9,10,30057190,357464,357464,357464,30057190
